area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Kuzhivelippady,2 BHK,Mitchel,2250,2,3,13500000
Plot  Area,18-Jan,Vypin Pallipuram Road,3 Bedroom,IDOTRR,4500,3,1,27000000
Carpet  Area,Ready To Move,Elamakkara,2 BHK,Somerst,2000,2,2,12000000
Super built-up  Area,Ready To Move,Vennala,4 BHK,NWAmes,1600,4,0,9600000
Plot  Area,Ready To Move,Panampilly Nagar,3 Bedroom,Crawfor,5000,3,1,30000000
Super built-up  Area,Ready To Move,Perumbavoor,4 BHK,Crawfor,5500,3,2,33000000
Super built-up  Area,Ready To Move,Kalamassery,2 BHK,CollgCr,4500,2,1,27000000
Super built-up  Area,Ready To Move,Maradu,3 BHK,CollgCr,1900,2,1,11400000
Super built-up  Area,Ready To Move,Vaduthala,3 BHK,CollgCr,2000,3,0,12000000
Super built-up  Area,Ready To Move,Kakkanad Pallikara Road,3 BHK,OldTown,1800,3,2,10800000
Super built-up  Area,Ready To Move,vyttila,2 BHK,CollgCr,1800,2,3,10800000
Super built-up  Area,20-Dec,Vytilla,1 BHK,SawyerW,1800,1,1,10800000
Super built-up  Area,Ready To Move,Angamaly,3 BHK,IDOTRR,2000,3,2,12000000
Super built-up  Area,Ready To Move,Thammanam,4 BHK,Edwards,1900,4,3,11400000
Super built-up  Area,Ready To Move,Thevara,3 BHK,NridgHt,1900,3,3,11400000
Super built-up  Area,Ready To Move,Vazhakkala,2 BHK,Gilbert,1900,2,3,11400000
Super built-up  Area,Ready To Move,Pallikkara,3 BHK,NAmes,2000,3,3,12000000
Super built-up  Area,18-Apr,Thevakkal,2 BHK,OldTown,1900,2,1,11400000
Super built-up  Area,Ready To Move,Palarivattom,3 BHK,Timber,2000,3,3,12000000
Super built-up  Area,18-Apr,Thrikkakara,2 BHK,OldTown,1800,2,2,10800000
Plot  Area,Ready To Move,Nedumbassery,5 Bedroom,Gilbert,1800,5,2,10800000
Super built-up  Area,18-Dec,Ernakulam South,2 BHK,NWAmes,2000,2,2,12000000
Super built-up  Area,Ready To Move,Padamughal,2 BHK,Somerst,1900,2,2,11400000
Built-up  Area,Ready To Move,Thykoodam,2 BHK,NoRidge,1900,2,2,11400000
Super built-up  Area,Ready To Move,Elamkulam,2 BHK,NWAmes,1800,2,1,10800000
Super built-up  Area,Ready To Move,Edathala,2 BHK,NridgHt,1800,2,1,10800000
Super built-up  Area,18-Apr,Kangarappady,2 BHK,NridgHt,1900,2,1,11400000
Plot  Area,Ready To Move,Mamangalam,2 Bedroom,SawyerW,1800,2,2,10800000
Plot  Area,Ready To Move,Varapuzha,4 Bedroom,OldTown,1800,4,3,10800000
Super built-up  Area,Ready To Move,Mulanthuruthy,3 BHK,NAmes,1800,3,2,10800000
Plot  Area,Ready To Move,Kathrikadavu,4 Bedroom,IDOTRR,1800,4,1,10800000
Super built-up  Area,Ready To Move,Kurlad Anganvadi Road,3 BHK,Veenker,2200,3,2,13200000
Super built-up  Area,Ready To Move,MG Road,2 BHK,NAmes,1800,2,2,10800000
Super built-up  Area,Ready To Move,Kacheripady,2 BHK,BrkSide,2000,2,2,12000000
Super built-up  Area,Ready To Move,Cheranalloor,3 BHK,IDOTRR,1800,2,1,10800000
Built-up  Area,Ready To Move,Chambakkara Kannadikadu Road,3 BHK,NAmes,1800,3,2,10800000
Super built-up  Area,20-Mar,Chottanikkara,2 BHK,NAmes,1800,2,1,10800000
Plot  Area,Ready To Move,High Court Road,4 Bedroom,NridgHt,2000,4,2,12000000
Super built-up  Area,Ready To Move,Infopark,2 BHK,NridgHt,1800,2,2,10800000
Super built-up  Area,Ready To Move,Kannankulangara,3 BHK,Gilbert,1600,3,2,9600000
Super built-up  Area,19-Dec,Keerthi Nagar Road,2 BHK,Timber,1800,2,1,10800000
Built-up  Area,Ready To Move,Kochi,2 BHK,StoneBr,1800,2,2,10800000
Super built-up  Area,Ready To Move,Kundannoor,4 BHK,CollgCr,1600,6,2,9600000
Super built-up  Area,Ready To Move,Manjummel,3 BHK,NWAmes,3500,3,3,21000000
Plot  Area,18-Mar,Puthiyakavu,2 Bedroom,NAmes,1200,2,0,7200000
Carpet  Area,Ready To Move,Sahodaran Ayyappan Road,2 BHK,Timber,1000,2,3,6000000
Super built-up  Area,Ready To Move,Shenoys,2 BHK,SawyerW,1350,2,2,8100000
Super built-up  Area,Ready To Move,Thengode Edachira Road,2 BHK,NAmes,1435,2,2,8610000
Built-up  Area,Ready To Move,Thiruvankulam Chottanikkara Road,3 BHK,NridgHt,1900,3,1,11400000
Super built-up  Area,21-Dec,Thottakkattukara,1 BHK,MeadowV,1800,,,10800000
Super built-up  Area,Ready To Move,Pallimukku,2 BHK,BrkSide,1500,2,2,9000000
Plot  Area,Ready To Move,Perumanoor,3 Bedroom,NAmes,1800,2,0,10800000
Super built-up  Area,18-Jun,Chittoor Road,3 BHK,NAmes,1000,3,1,6000000
Super built-up  Area,Ready To Move,Chalikkavattom,3 BHK,NridgHt,1300,3,0,7800000
Plot  Area,18-Dec,Eroor South,3 Bedroom,NridgHt,3000,3,2,18000000
Built-up  Area,Ready To Move,Fortkochi,2 BHK,NridgHt,1500,2,1,9000000
Super built-up  Area,Ready To Move,Kadungalloor,2 BHK,ClearCr,1800,2,1,10800000
Carpet  Area,Ready To Move,Kathrikadavu Railway Over Bridge,3 BHK,Edwards,2000,3,2,12000000
Super built-up  Area,Ready To Move,Mini Bypass Tripunithura Road,2 BHK,OldTown,5000,2,3,30000000
Super built-up  Area,18-May,Ponekkara,1 BHK,SWISU,2500,1,1,15000000
Plot  Area,Ready To Move,Puthencruz,3 Bedroom,CollgCr,1500,3,2,9000000
Super built-up  Area,Ready To Move,Chilavannoor,3 BHK,Gilbert,1300,3,1,7800000
Super built-up  Area,21-Dec,Thrikkakara North,2 BHK,MeadowV,1050,2,2,6300000
Super built-up  Area,Ready To Move,Vazhakkulam,4 BHK,ClearCr,1600,5,3,9600000
Super built-up  Area,18-Aug,North Paravoor,2 BHK,NoRidge,1200,2,1,7200000
Super built-up  Area,Ready To Move,Athani Mundapalam Road,2 BHK,Mitchel,3500,2,2,21000000
Super built-up  Area,Ready To Move,Chakkaraparambu,3 BHK,BrkSide,1350,3,0,8100000
Plot  Area,Ready To Move,Chembumukku Road,4 Bedroom,Edwards,4350,4,2,26100000
Built-up  Area,Ready To Move,Choornikkara,1 BHK,BrDale,1900,1,1,11400000
Super built-up  Area,Ready To Move,Chullickal,2 BHK,NWAmes,1800,2,1,10800000
Super built-up  Area,18-Mar,Elamakkara Road,1 BHK,IDOTRR,3500,1,0,21000000
Built-up  Area,Ready To Move,Elamkulam Bridge,2 BHK,NAmes,4800,2,3,28800000
Super built-up  Area,Ready To Move,Ernakulam North Kathrikadavu,2 BHK,NAmes,5000,2,2,30000000
Built-up  Area,Ready To Move,Eroor Rd,2 BHK,NAmes,1300,2,2,7800000
Super built-up  Area,Ready To Move,Ettumanoor Ernakulam Rd,2 BHK,NAmes,2000,2,1,12000000
Super built-up  Area,Ready To Move,Gandhi Nagar,4 BHK,Gilbert,1258,5,2,7548000
Built-up  Area,Ready To Move,Hill Palace Road,2 BHK,ClearCr,1800,2,2,10800000
Super built-up  Area,Ready To Move,Irumpanam,2 BHK,SawyerW,1600,2,1,9600000
Super built-up  Area,19-Mar,Kadavanthara Road,3 BHK,NAmes,1385,3,2,8310000
Super built-up  Area,Ready To Move,Kakkanad,2 BHK,CollgCr,2500,2,2,15000000
Super built-up  Area,Ready To Move,Kakkanad NGO Quarters Road,3 BHK,Edwards,2000,2,1,12000000
Super built-up  Area,Ready To Move,Kakkanad Road,3 BHK,CollgCr,1300,3,2,7800000
Super built-up  Area,18-May,Kaladi,1 BHK,Somerst,4500,1,0,27000000
Super built-up  Area,Ready To Move,Kannamkulangara Road,3 BHK,StoneBr,1600,3,2,9600000
Super built-up  Area,18-May,Karukutty,3 BHK,Gilbert,1000,3,0,6000000
Super built-up  Area,Ready To Move,Kochi Madurai Dhanushkodi Road,3 BHK,SWISU,1630,3,2,9780000
Built-up  Area,Ready To Move,Kollamkudimugal,2 BHK,Somerst,2000,2,,12000000
Plot  Area,19-Jan,KP Vallon Road,2 Bedroom,CollgCr,1600,1,1,9600000
Super built-up  Area,Ready To Move,Mulavukad,2 BHK,SawyerW,1350,2,2,8100000
Built-up  Area,Ready To Move,Muppathadam Road,2 BHK,ClearCr,1500,2,1,9000000
Super built-up  Area,Ready To Move,Muttambalam Village Kottayam,2 BHK,Blmngtn,1600,2,1,9600000
Built-up  Area,20-Dec,Muvattupuzha,3 BHK,Edwards,2900,3,2,17400000
Built-up  Area,Ready To Move,Naroth Road,3 BHK,Edwards,1200,2,0,7200000
Super built-up  Area,21-Jun,Nettoor,3 BHK,CollgCr,2255,3,2,13530000
Built-up  Area,Ready To Move,Pachalam,2 BHK,NridgHt,1400,2,1,8400000
Super built-up  Area,Ready To Move,Palluruthy,2 BHK,Edwards,1500,2,2,9000000
Super built-up  Area,Ready To Move,Panchayat Road,2 BHK,Mitchel,1600,2,1,9600000
Super built-up  Area,18-Aug,Periyar Nagar,3 BHK,NAmes,2700,3,3,16200000
Super built-up  Area,Ready To Move,Pinarmunda Infopark Short Road,2 BHK,BrkSide,1200,2,2,7200000
Built-up  Area,Ready To Move,Poonithura,2 BHK,OldTown,4600,2,1,27600000
Built-up  Area,Ready To Move,Pukkattupady Road,2 BHK,Edwards,1650,2,1,9900000
Built-up  Area,Ready To Move,Pullepady,2 BHK,CollgCr,5520,2,2,33120000
Super built-up  Area,Ready To Move,Puthiya Road,6 BHK,NAmes,3900,3,,23400000
Built-up  Area,Ready To Move,Salem Kochi Highway,2 BHK,IDOTRR,1800,2,1,10800000
Super built-up  Area,Ready To Move,Satellite Township Padamughal,3 BHK,Somerst,4500,3,1,27000000
Super built-up  Area,Ready To Move,SRM Road,3 BHK,Veenker,1551,3,2,9306000
Super built-up  Area,Ready To Move,Thevara Ferry Road,4 BHK,CollgCr,1600,4,1,9600000
Plot  Area,Ready To Move,Vidya Nagar Colony Thrikkakara,2 Bedroom,Sawyer,1955,2,1,11730000
Super built-up  Area,Ready To Move,Warriyam Road,4 BHK,NoRidge,1550,4,1,9300000
Super built-up  Area,Ready To Move,Ayyappankavu,2 BHK,Gilbert,4820,2,1,28920000
Plot  Area,Ready To Move,Valummel,2 Bedroom,Sawyer,1843,2,0,11058000
Plot  Area,Ready To Move,Edakochi,4 Bedroom,SWISU,3640,2,0,21840000
Super built-up  Area,Ready To Move,Panayappilly,3 BHK,Crawfor,3000,3,2,18000000
Super built-up  Area,19-Jan,South Chittoor,7 BHK,NridgHt,4500,6,3,27000000
Plot  Area,Ready To Move,Eloor,2 Bedroom,Somerst,1300,1,1,7800000
Super built-up  Area,Ready To Move,Kunnathunad,1 BHK,Edwards,1000,1,0,6000000
Super built-up  Area,Ready To Move,Veliyathunadu,2 BHK,Gilbert,2000,2,,12000000
Super built-up  Area,Ready To Move,Koonammavu,2 BHK,Somerst,1700,2,1,10200000
Plot  Area,Ready To Move,Puthenkurish,6 Bedroom,OldTown,1800,7,3,10800000
Super built-up  Area,Ready To Move,Kunnukara,3 BHK,SawyerW,1200,3,3,7200000
Built-up  Area,Ready To Move,Kolenchery,3 BHK,Gilbert,1200,3,2,7200000
Super built-up  Area,Ready To Move,A z a d Road,2 BHK,Sawyer,1700,2,2,10200000
Plot  Area,Ready To Move,Alappuzha,3 Bedroom,Crawfor,1650,3,2,9900000
Plot  Area,17-Dec,Alappuzha Arthunkal Kochi Road,2 Bedroom,Edwards,1500,2,1,9000000
Built-up  Area,18-Aug,Alfiya Nagar,2 BHK,NAmes,2500,2,2,15000000
Plot  Area,Ready To Move,Alinchuvadu,2 Bedroom,Mitchel,2500,2,0,15000000
Super built-up  Area,Ready To Move,Alwaye,3 BHK,NWAmes,2460,4,2,14760000
Super built-up  Area,18-Oct,Ambalamedu,2 BHK,Mitchel,2800,2,1,16800000
Super built-up  Area,Ready To Move,Ambelipadam Road,2 BHK,NoRidge,2466,2,1,14796000
Built-up  Area,Ready To Move,Amrita Nagar,2 BHK,NAmes,1650,2,2,9900000
Plot  Area,Ready To Move,Aroor,6 Bedroom,OldTown,1800,5,3,10800000
Super built-up  Area,17-Jul,Azad Road,3 BHK,SawyerW,1250,3,2,7500000
Super built-up  Area,Ready To Move,Block Office Road,2 BHK,NAmes,3654,2,2,21924000
Super built-up  Area,Ready To Move,Bolghatty Palace Island Resort,2 BHK,CollgCr,3800,2,1,22800000
Super built-up  Area,Ready To Move,Brahmapuram,3 BHK,Timber,1456,3,2,8736000
Built-up  Area,16-Mar,Cannon Shed Road,2 BHK,BrDale,2456,2,0,14736000
Super built-up  Area,Ready To Move,CBI Road,2 BHK,OldTown,3654,2,3,21924000
Super built-up  Area,Ready To Move,Chakkalakkal,2 BHK,BrDale,2250,2,2,13500000
Super built-up  Area,Ready To Move,Chakkalapadam Road,2 BHK,Gilbert,4500,2,2,27000000
Plot  Area,Ready To Move,Chakkarapparambu Road,8 Bedroom,MeadowV,2000,8,,12000000
Super built-up  Area,Ready To Move,Changampuzha Nagar,3 BHK,CollgCr,1600,4,,9600000
Super built-up  Area,Ready To Move,Changampuzha Park Road,3 BHK,OldTown,5000,3,2,30000000
Super built-up  Area,18-Jul,Chavakkadu Kochi,3 BHK,BrkSide,5500,3,2,33000000
Super built-up  Area,Ready To Move,Chembakara,2 BHK,Crawfor,4500,1,1,27000000
Plot  Area,Ready To Move,Chembumukku,3 Bedroom,Edwards,2400,4,3,14400000
Plot  Area,Ready To Move,Cherthala Taluk Alappuzha,4 Bedroom,NridgHt,1200,4,3,7200000
Super built-up  Area,Ready To Move,Chilavannur,2 BHK,Edwards,1000,2,1,6000000
Super built-up  Area,Ready To Move,Chitrapuzha Road,3 BHK,BrkSide,1350,2,1,8100000
Super built-up  Area,Ready To Move,Chittethukara,3 BHK,Blmngtn,1435,2,3,8610000
Super built-up  Area,Ready To Move,Chunangamvely,3 BHK,CollgCr,1900,3,2,11400000
Super built-up  Area,Ready To Move,Cochin College Road,2 BHK,Edwards,1800,2,1,10800000
Super built-up  Area,Ready To Move,Convent Road,3 BHK,NAmes,1500,2,2,9000000
Built-up  Area,18-Apr,Deshabhimani,1 BHK,Gilbert,1800,1,1,10800000
Super built-up  Area,Ready To Move,Desom,3 BHK,IDOTRR,1000,3,2,6000000
Super built-up  Area,Ready To Move,Echamuku,3 BHK,OldTown,1300,3,2,7800000
Super built-up  Area,Ready To Move,Elamana Road,2 BHK,OldTown,3000,2,1,18000000
Plot  Area,Ready To Move,Eroor Road,3 Bedroom,ClearCr,1500,3,2,9000000
Super built-up  Area,18-Sep,FACT Nagar,2 BHK,Timber,1800,2,1,10800000
Plot  Area,Ready To Move,Gandhinagar Road,4 Bedroom,Somerst,2000,4,2,12000000
Super built-up  Area,Ready To Move,Good Earth Lane,2 BHK,Mitchel,5000,2,2,30000000
Built-up  Area,Ready To Move,HMT Colony,4 Bedroom,NWAmes,2500,4,3,15000000
Super built-up  Area,18-May,HMT Colony Road,3 BHK,OldTown,1500,2,2,9000000
Super built-up  Area,Ready To Move,HMT Kalamassery,3 BHK,ClearCr,1300,3,2,7800000
Super built-up  Area,18-Apr,Idukki,2 BHK,OldTown,1050,2,1,6300000
Super built-up  Area,Ready To Move,Janatha Road,11 BHK,BrkSide,1600,9,3,9600000
Super built-up  Area,Ready To Move,Jawahar Nagar,3 BHK,Somerst,1200,3,0,7200000
Super built-up  Area,18-May,Jaya Nagar,3 BHK,SWISU,3500,2,1,21000000
Super built-up  Area,Ready To Move,Journalist Colony,2 BHK,Sawyer,1350,2,1,8100000
Built-up  Area,Ready To Move,Judgemukku Thrikkakara,2 BHK,Crawfor,4350,2,2,26100000
Built-up  Area,Ready To Move,Kaipadamugal,2 BHK,CollgCr,1900,2,2,11400000
Super built-up  Area,Ready To Move,Kakkanad Junction Road,2 BHK,Blmngtn,1800,2,2,10800000
Super built-up  Area,18-Dec,Kalabhavan Road,3 BHK,NAmes,3500,2,2,21000000
Super built-up  Area,Ready To Move,Kaloor Kadavanthara Road,3 BHK,NAmes,4800,3,3,28800000
Super built-up  Area,Ready To Move,Kangarappady Navodaya Road,2 BHK,NridgHt,5000,2,1,30000000
Plot  Area,Ready To Move,Karikkamuri,4 Bedroom,SawyerW,1300,4,2,7800000
Plot  Area,Ready To Move,Karimugal,2 Bedroom,StoneBr,2000,2,0,12000000
Super built-up  Area,Ready To Move,Karimugal Kaninadu Road,2 BHK,NWAmes,1258,2,1,7548000
Built-up  Area,Ready To Move,Karingachira,4 BHK,Edwards,1800,4,1,10800000
Super built-up  Area,18-May,Karippassery,2 BHK,NridgHt,1600,2,1,9600000
Super built-up  Area,Ready To Move,Karshaka Road,2 BHK,StoneBr,1385,2,1,8310000
Super built-up  Area,19-Jun,Karthikapally Taluk Alappuzha,2 BHK,Sawyer,2500,2,1,15000000
Built-up  Area,Ready To Move,Kasargod,2 BHK,CollgCr,2000,2,1,12000000
Super built-up  Area,Ready To Move,KB Jacob Road,4 BHK,NridgHt,1300,4,,7800000
Super built-up  Area,Ready To Move,Kochangadi,2 BHK,CollgCr,4500,2,1,27000000
Super built-up  Area,Ready To Move,Kochi Metropolitan Area,2 BHK,OldTown,1600,2,0,9600000
Built-up  Area,Ready To Move,Kochi Road,4 BHK,NridgHt,1000,4,2,6000000
Plot  Area,Ready To Move,Kongorpilly Olanad Road,4 Bedroom,NridgHt,1630,4,3,9780000
Plot  Area,Ready To Move,Kothamangalam,5 Bedroom,OldTown,2000,3,2,12000000
Plot  Area,Ready To Move,Kottayam Kochi,5 Bedroom,Mitchel,1600,5,2,9600000
Super built-up  Area,Ready To Move,Kozhikode,3 BHK,Sawyer,1350,3,2,8100000
Super built-up  Area,Ready To Move,Kumaranasan Road,4 BHK,NAmes,1500,4,3,9000000
Plot  Area,Ready To Move,Kumarapuram Temple Road,4 Bedroom,NAmes,1600,4,2,9600000
Super built-up  Area,Ready To Move,Kumbalam,2 BHK,NWAmes,2900,2,1,17400000
Super built-up  Area,Ready To Move,Kunnumpuram,2 BHK,OldTown,1200,2,2,7200000
Super built-up  Area,Ready To Move,Kuthukuzhi,3 BHK,MeadowV,2255,3,2,13530000
Super built-up  Area,Ready To Move,Kyomtha Seminary Road,5 BHK,MeadowV,1400,7,3,8400000
Plot  Area,Ready To Move,LakeshoreMadavana Service Road,3 Bedroom,NAmes,1500,3,2,9000000
Super built-up  Area,22-Jun,Layam Road,2 BHK,Gilbert,1600,2,2,9600000
Built-up  Area,Ready To Move,Link Park Lane,2 BHK,NAmes,2700,3,3,16200000
Super built-up  Area,18-Apr,Lisie Hospital Road,2 BHK,OldTown,1200,2,1,7200000
Super built-up  Area,Ready To Move,Malikampeedika,2 BHK,IDOTRR,4600,2,1,27600000
Super built-up  Area,Ready To Move,Mallapally Taluk Pathanamthitta,2 BHK,NoRidge,1650,2,1,9900000
Built-up  Area,Ready To Move,Mallapuram,2 BHK,BrkSide,5520,2,1,33120000
Super built-up  Area,Ready To Move,Mannarakkara Road,3 BHK,Sawyer,3900,2,1,23400000
Super built-up  Area,Ready To Move,Marine drive,2 BHK,NAmes,1800,2,1,10800000
Plot  Area,17-Oct,Market Road,2 Bedroom,BrDale,4500,2,1,27000000
Super built-up  Area,Ready To Move,Marottichuvadu,3 BHK,Somerst,1551,3,1,9306000
Built-up  Area,Ready To Move,Mattanchery,3 BHK,Edwards,1600,3,1,9600000
Super built-up  Area,19-Dec,Medical Centre Road,3 BHK,Crawfor,1955,3,1,11730000
Built-up  Area,Ready To Move,Medical College NAD Road,1 BHK,NPkVill,1550,2,0,9300000
Super built-up  Area,Ready To Move,Menaka-MARINE DRIVE,2 BHK,OldTown,4820,2,3,28920000
Super built-up  Area,Ready To Move,MLA Road,2 BHK,SawyerW,1843,2,1,11058000
Super built-up  Area,Ready To Move,Mundampalam,2 BHK,Somerst,3640,2,1,21840000
Super built-up  Area,17-May,Mundamveli,2 BHK,OldTown,3000,2,1,18000000
Super built-up  Area,19-Apr,Munnar,2 BHK,NAmes,4500,2,1,27000000
Plot  Area,Ready To Move,Muthukulam Village Kochi,4 Bedroom,NAmes,1300,3,1,7800000
Built-up  Area,Ready To Move,Navodaya North Millumpady,1 Bedroom,NridgHt,1000,1,0,6000000
Super built-up  Area,Ready To Move,Nethaji Nagar,2 BHK,NAmes,2000,2,1,12000000
Plot  Area,Ready To Move,NGO Quarters Kochi,4 Bedroom,Mitchel,1700,4,2,10200000
Plot  Area,Ready To Move,NGO Quarters Mavelipuram Road,4 Bedroom,Crawfor,1800,4,2,10800000
Super built-up  Area,Ready To Move,Nh Byepass,4 BHK,NridgHt,1200,4,1,7200000
Super built-up  Area,18-Dec,Njarackal,4 BHK,NWAmes,1200,5,3,7200000
Super built-up  Area,Ready To Move,Njarakkal,3 BHK,NoRidge,1700,3,,10200000
Plot  Area,Ready To Move,North Janatha Road,4 Bedroom,CollgCr,1650,5,1,9900000
Built-up  Area,Ready To Move,North Kalamassery,3 BHK,Crawfor,1500,2,2,9000000
Built-up  Area,19-Jul,Ottapalam,3 BHK,OldTown,2500,3,2,15000000
Super built-up  Area,Ready To Move,Padivattom,2 BHK,NAmes,2500,2,2,15000000
Super built-up  Area,18-Apr,Palachuvadu,3 BHK,BrkSide,2460,3,2,14760000
Super built-up  Area,Ready To Move,Palakkad,2 BHK,Edwards,2800,2,1,16800000
Super built-up  Area,17-Dec,Pallimugal Rd,4 BHK,NoRidge,2466,6,1,14796000
Super built-up  Area,Ready To Move,Panampilly Nagar Link Road,2 BHK,Somerst,1650,2,2,9900000
Built-up  Area,Ready To Move,Panangad,1 BHK,NAmes,810,2,0,4860000
Super built-up  Area,18-Jul,Paravur,2 BHK,NridgHt,1250,2,1,7500000
Super built-up  Area,Ready To Move,Pathadipalam,4 BHK,Edwards,3654,4,,21924000
Built-up  Area,Ready To Move,Pathirapally Village Ambalapuzha,3 BHK,Crawfor,3800,3,1,22800000
Super built-up  Area,18-Jun,Pattalam Road,2 BHK,Timber,1456,2,1,8736000
Super built-up  Area,18-Apr,Perumbaikadu Village Kottayam,2 BHK,BrkSide,2456,2,1,14736000
Super built-up  Area,Ready To Move,Pipeline Road,2 BHK,NAmes,3654,2,2,21924000
Super built-up  Area,Ready To Move,Ponnurunni,3 BHK,BrkSide,2250,2,1,13500000
Super built-up  Area,Ready To Move,Pottakuzhi Mamangalam Road,3 BHK,Gilbert,4500,4,1,27000000
Super built-up  Area,Ready To Move,PT Usha Road,3 BHK,Edwards,2000,2,2,12000000
Super built-up  Area,Ready To Move,Pulikillam East Road,2 BHK,CollgCr,1600,2,1,9600000
Super built-up  Area,Ready To Move,Puthenpally,3 BHK,NAmes,5000,2,2,30000000
Super built-up  Area,Ready To Move,PuthiyaKavu Valavu Road,9 BHK,Sawyer,5500,9,3,33000000
Built-up  Area,Ready To Move,Puthukkalavattom Road,5 Bedroom,CollgCr,4500,3,1,27000000
Super built-up  Area,Ready To Move,Rameshwaram Village,2 BHK,Timber,1200,2,1,7200000
Built-up  Area,20-Dec,Ravipuram,3 BHK,NoRidge,1000,3,2,6000000
Built-up  Area,Ready To Move,Residential House Kurambala,3 BHK,NWAmes,1350,2,1,8100000
Super built-up  Area,18-Apr,Seaport Airport Road,3 BHK,NAmes,1435,3,2,8610000
Plot  Area,18-Mar,Smartcity Road,3 Bedroom,Gilbert,1900,3,1,11400000
Plot  Area,Ready To Move,SN Junction Over Bridge,3 Bedroom,NWAmes,1800,3,0,10800000
Super built-up  Area,Ready To Move,Society Road,2 BHK,BrkSide,1500,2,2,9000000
Built-up  Area,Ready To Move,South Kalamassery,5 BHK,Mitchel,1800,5,1,10800000
Super built-up  Area,Ready To Move,St James Church Rd,3 BHK,OldTown,1000,2,,6000000
Super built-up  Area,18-Sep,Stadium Link Road,2 BHK,Somerst,1300,2,0,7800000
Super built-up  Area,Ready To Move,Stadium Road,3 BHK,NPkVill,3000,5,2,18000000
Super built-up  Area,18-Apr,Stadium Round,2 BHK,OldTown,1500,2,2,9000000
Super built-up  Area,Ready To Move,TD Road,2 BHK,NridgHt,1800,2,2,10800000
Super built-up  Area,Ready To Move,Thamaramkulangara Road,3 BHK,Edwards,2000,2,2,12000000
Plot  Area,Ready To Move,Thattampady,6 Bedroom,NridgHt,5000,6,0,30000000
Plot  Area,Ready To Move,Thiruvaniyoor,2 Bedroom,BrkSide,2500,1,1,15000000
Built-up  Area,Ready To Move,Thoppumpady,2 BHK,NAmes,1500,2,1,9000000
Super built-up  Area,21-Dec,Thottumugham,1 BHK,IDOTRR,1300,1,1,7800000
Built-up  Area,Ready To Move,Thrippunithura,2 BHK,Gilbert,1050,2,1,6300000
Plot  Area,Ready To Move,Thuthiyoor Road,4 Bedroom,Blmngtn,1600,4,3,9600000
Super built-up  Area,Ready To Move,Trichur,2 BHK,Sawyer,1200,2,1,7200000
Super built-up  Area,21-Feb,Uliyannoor,1 BHK,Mitchel,3500,1,1,21000000
Built-up  Area,Ready To Move,Unichira Kochi,2 BHK,Edwards,1350,2,2,8100000
Super built-up  Area,19-Dec,Unnichira Koonamthai,3 BHK,Edwards,4350,3,1,26100000
Super built-up  Area,18-Aug,Vadakkekotta Kochi,2 BHK,NoRidge,1900,2,1,11400000
Super built-up  Area,Ready To Move,Vadasserikkara Village Ranni,3 BHK,SWISU,1800,3,1,10800000
Plot  Area,Ready To Move,Valanjambalam,4 Bedroom,StoneBr,3500,4,1,21000000
Super built-up  Area,Ready To Move,Valappu,3 BHK,NridgHt,4800,3,3,28800000
Super built-up  Area,Ready To Move,Vallarpadam Church Road,3 BHK,SawyerW,5000,3,2,30000000
Built-up  Area,Ready To Move,Vallikavu Road,2 BHK,NAmes,1300,2,1,7800000
Built-up  Area,Ready To Move,Veli Road,4 Bedroom,NAmes,2000,4,3,12000000
Super built-up  Area,Ready To Move,Vidya Nagar Colony,3 BHK,NAmes,1258,3,2,7548000
Super built-up  Area,Ready To Move,Kakkanad,2 BHK,Timber,1800,2,1,10800000
Plot  Area,Ready To Move,Pukkattupady,4 Bedroom,Gilbert,1600,4,3,9600000
Super built-up  Area,Ready To Move,Kaloor,3 BHK,NAmes,1385,3,,8310000
Super built-up  Area,18-May,Aluva,3 BHK,NAmes,2500,2,1,15000000
Super built-up  Area,Ready To Move,Edappally,2 BHK,SWISU,2000,2,2,12000000
